
--  >dom----------
|.. 0
|.. |..0.52
|.. |..|..0.76
|.. |..|..|..0.88
|.. |..|..|..|..0.97
band
band
$atleast, >d, $done_percent, <ep, $learning_curve, <np, $nprod, $optimism, $pomposity, $productivity_exp, $productivity_new, $r, $to, $ts, >dom, !klass
0.6,100,5.4,6.88,18.21,15.12,5.61,4.43,59.21,9.97,0.11,139.78,42.21,8.39,0.61,..0.97
2.1,57.23,2.93,5,58.31,3,2.94,58.89,89.05,6.16,0.16,247.83,95.2,46.92,0.61,..0.97
9.72,37.68,8.17,3.58,86.58,1.42,7.78,27.84,68.02,1.35,0.34,558.89,73.2,39.57,0.61,..0.97
2.58,62.99,5.91,11.85,8.95,0.15,5.17,56.34,10.2,2.31,0.36,713.97,22.61,38.88,0.61,..0.97
8.16,100,0.01,7.29,41.72,11.71,5.51,59.46,20.54,6.38,0.91,0,7.1,55.46,0.61,..0.97
2.02,66.28,6.55,6.49,56.72,6.51,4.6,70.3,63.49,2.55,0.83,838.54,68.93,87.58,0.61,..0.97
1.68,100,8.8,5.22,78.62,16.78,9.07,81.38,72.74,4.84,0.05,808.74,10.61,1.27,0.61,..0.97
0.03,100,7.29,5.13,96.5,12.87,5.88,45.29,65.69,3.89,0.31,634.98,86.18,3.05,0.61,..0.97
1.38,100,7.16,8.09,14.72,14.91,2.48,36.17,10.64,7.76,0.4,506.65,31.24,26.94,0.62,..0.97
3.69,54.55,8.9,7.69,14.41,0.31,3.18,14.17,90.36,3.05,0.54,644.38,54.41,1.68,0.62,..0.97
2.43,100,2.14,4.8,20.03,15.2,2.71,60.68,1.05,9.18,0.78,853.01,3.88,46.36,0.62,..0.97
0.34,100,6.3,7.11,92.88,9.89,6.58,13.43,19.12,6.12,0.36,273.47,4.44,23.41,0.62,..0.97
9.4,100,9.03,4.21,81.61,16.79,6.33,99.37,49.95,3.66,0.81,830.36,10.39,60.63,0.62,..0.97
2.9,69.24,2.64,14.19,16.24,1.81,4.27,94.57,96.9,2.13,0.74,509.91,35.18,56.21,0.62,..0.97
5.77,73.7,1.29,8.86,63.81,3.14,1.51,68.96,11.47,6.86,0.13,761.06,92.36,8.72,0.62,..0.97
3.19,80.57,9.07,15.18,1.79,0,3.95,85.97,25.8,2.15,0.85,507.67,91.27,21.39,0.63,..0.97
3.6,72.66,4.3,13.87,17.4,1.13,3.53,89.49,91.85,1.85,0.79,578.71,41.52,28.91,0.63,..0.97
0.06,100,8.02,6.35,45.41,15.65,8.58,57.72,35.96,9.6,0.85,0,78.36,29.62,0.63,..0.97
0.75,100,6.35,10,8.02,14,4.98,29.15,79.5,8.13,0.08,144.52,50.64,8.16,0.64,..0.97
5.09,100,1.75,5.52,6.34,13.48,5.5,21.58,47.32,4.91,0.4,798.42,53.48,63.64,0.64,..0.97
0.71,68.32,9.08,4.48,77.66,7.52,9.59,46.85,37.74,4.21,0.26,639.84,95.52,91.7,0.64,..0.97
0.52,41.28,6.06,6.51,20.24,1.49,3.89,32.84,15.4,4.21,0.9,825.03,16.57,45.41,0.64,..0.97
4.42,100,1.22,9.17,10.25,10.83,8.62,18.78,35.71,9.48,0.7,60.52,30.56,46.65,0.64,..0.97
0.08,100,2.79,4.28,56.21,15.72,9.91,36,82.02,1.25,0.46,822.57,67.59,68.35,0.64,..0.97
4.98,100,4.64,9.63,6.46,14.37,2.91,2.52,31.07,5.43,0.63,0,84.36,90.83,0.64,..0.97
2.25,100,9.75,6.22,64.08,13.78,4.66,52.41,51.3,4.76,0.81,774.97,64.02,24.6,0.64,..0.97
2.53,100,7.11,4.2,81.31,15.8,9.62,9.66,15.51,8.02,0.46,596.61,55.99,62.72,0.64,..0.97
7.63,100,4.14,4.78,23.1,17.22,7.18,2.36,14.78,7.98,0.18,691.3,39.93,56.63,0.64,..0.97
4.64,100,8.58,2.2,91.09,17.8,7.47,12.55,71.78,2.61,0.52,178.7,93.73,18.23,0.64,..0.97
9.21,100,9.37,4.69,10.06,15.31,8.95,8.17,88.24,4.58,0.44,597.42,66.39,17.69,0.64,..0.97
9.71,100,1.15,8.28,49.14,13.72,3.25,92.09,69.16,8.08,0.73,366.37,92.38,31.2,0.64,..0.97
6.17,60.35,4.59,8.08,39.05,0.92,1.3,34.32,46.2,6.49,0.33,657.79,11.79,31.21,0.64,..0.97
8.7,100,0.09,6.44,34.38,14.56,7.12,68.72,27.79,9.96,0.78,396.34,92.52,81.97,0.64,..0.97
3.53,100,6.85,6.41,11.32,14.59,9.66,91.08,61.78,4.16,0.44,0,15.88,10.48,0.64,..0.97
5.62,100,5.8,2.35,54.72,18.65,5.45,48.11,57.47,5.98,0.89,359.68,54.33,19.16,0.64,..0.97
7.96,36.17,9.8,1.99,7.65,0.01,6.07,43.16,94.43,5.23,0.64,253.3,67.73,47.76,0.65,..0.97
3.95,100,0.55,5.36,38.65,13.64,7.3,6.14,97.41,4.18,0.19,668.08,4.74,56.34,0.65,..0.97
4.06,100,6.12,9.5,10.02,13.5,1.82,55.64,94.33,7.01,0.3,110.18,26.72,81.5,0.65,..0.97
9.06,96.7,8.94,17.43,21.44,2.57,1.15,71.37,90.96,8.86,0.38,74.79,97.8,15.41,0.65,..0.97
8.56,94.73,1.54,20.4,14.52,1.6,1.44,87.41,21.3,8.33,0.46,39.35,80.34,7.44,0.65,..0.97
3.62,100,3.25,8.11,94.44,9.89,3.83,8.89,77.51,2.51,0.99,330.6,29,63.81,0.65,..0.97
7.6,100,3.37,6.72,22.25,15.28,9.89,48.65,26.75,1.08,0.54,392.98,96.9,89.61,0.66,..0.97
3.35,39.05,9.64,1.53,96.28,1.47,9.33,72.35,25.33,2.98,0.55,229.26,4.19,20.43,0.66,..0.97
0.09,86.4,1.2,14.52,26.29,2.48,1.16,67.21,4.15,8.16,0.08,548.01,78.46,27.61,0.66,..0.97
0.12,100,5.99,16.91,1.39,3.09,7.03,75.56,68.14,9.85,0.99,215.41,90.68,18.01,0.66,..0.97
4.02,100,4.02,6.48,29.45,13.52,8.16,96.94,68.79,1.9,0.39,34.17,59.37,95.8,0.66,..0.97
4.51,56.84,2.85,5.94,78.85,2.06,2.75,57.39,52.06,3.7,0.66,743.06,28.73,72.95,0.66,..0.97
8.84,100,7.63,4.32,36.93,11.68,8.58,12.78,84.32,9.1,0.54,24.59,27.22,59.88,0.66,..0.97
8.94,100,8.88,4.36,50.3,17.64,6.54,77.43,47.85,4.03,0.83,397.13,1.04,58.4,0.66,..0.97
3.75,97.87,7.03,7.99,87.85,10.01,5.87,89.38,2.26,3.23,0.26,441.74,5.49,25.73,0.66,..0.97
8.68,98.32,9.74,18.08,17.98,2.92,3.84,70.43,43.3,5.58,0.19,721.48,67.74,96.26,0.67,..0.97
7.24,100,3.2,4.27,63.91,16.73,4.9,59.27,24.1,5.16,0.2,724.28,22.6,95.2,0.67,..0.97
1.63,47.95,2.29,1.59,84.2,1.41,5.5,48.07,61.29,6.6,0.97,859.6,76.33,86.65,0.67,..0.97
1.81,100,0.98,2.29,58.85,16.71,7.11,57.47,82.13,8.36,0.94,314.6,2.22,84.68,0.67,..0.97
9.1,100,7.47,9.91,4.46,10.09,9.74,22.13,36.88,6.14,0.29,0,92.9,55.4,0.67,..0.97
1.8,54.51,3.61,6.85,11.28,0.15,3.76,88.45,84.18,2.98,0.81,31.12,44.33,57.94,0.67,..0.97
0.68,100,4.36,5.77,20.69,15.23,8.08,69.41,2.9,9.42,0.84,740.88,64.5,63.44,0.67,..0.97
5.23,81.95,7.24,10.56,76.66,5.44,3.84,58.56,80.78,2.53,0.12,586.11,14.65,38.51,0.67,..0.97
1.09,100,9,8.66,19.62,12.34,6.1,51.06,14.65,2.88,0.72,0,2.77,39.27,0.68,..0.97
6.34,100,8.47,1.35,49.01,16.65,8.12,44.68,21.39,5.5,0.9,451.33,33.18,64.11,0.68,..0.97
0.08,61.59,2.34,7.72,49.55,3.28,6.58,87.67,12.33,1.53,0.26,507.17,99.37,97.02,0.68,..0.97
3.4,100,4.45,9.16,48.93,7.84,9.66,7.97,47.25,8.74,0.85,703.33,6.24,70.09,0.68,..0.97
0.8,79.48,1.99,7.58,42.6,6.42,8.61,11.26,23.96,1.34,0.6,350.36,90.32,89.91,0.68,..0.97
6.7,100,7.42,1.25,63.06,15.75,9.49,95.53,13.04,4.63,0.49,356.8,36.07,37.87,0.68,..0.97
6.9,100,0.05,7.39,33.03,12.61,3.45,56.13,49.9,6.49,0.39,140.62,23.41,51.21,0.68,..0.97
9.01,100,4.91,5.15,85.77,12.85,6,68.56,83.99,5.61,0.31,212.91,87.42,5.04,0.68,..0.97
2.24,77.49,6.85,4.05,90.74,7.95,5.75,0.15,86.63,4.26,0.83,906.16,52.62,94.89,0.68,..0.97
7.85,100,9.37,6.67,6,13.33,7.13,59.44,8.47,6.75,0.84,456.64,42.59,18.4,0.68,..0.97
6.7,100,1.76,6.17,70.16,11.83,9.6,38.93,22.22,9.12,0.07,189.32,84.14,23.24,0.69,..0.97
3.05,100,4.19,3.38,39.19,14.62,4.42,24.89,78.11,5.66,0.71,170.7,16,88.42,0.69,..0.97
0.71,89.74,8.93,7.84,60.26,9.16,3.53,34.83,30.41,7.64,0.67,279.59,23.3,33.31,0.69,..0.97
7.09,100,1.34,9.9,5.27,8.1,8.04,49.94,11.89,7.79,0.32,828.27,16.45,47.57,0.69,..0.97
1.84,70.88,0.24,5.12,69.71,5.88,2.92,29.01,79.47,9.07,0.67,85.51,51.35,2,0.69,..0.97
8.98,100,6.03,7.68,22.04,14.32,9.16,52.49,55.9,5.62,0.47,41.74,69.55,66.31,0.69,..0.97
6.2,100,0.38,8.57,20.89,11.43,3.59,14.39,79.54,9.87,0.09,0,85.79,51.26,0.69,..0.97
5.76,100,5.41,9.2,55.45,10.8,4.82,59.84,51.78,9.41,0.22,868.88,82.12,76.89,0.69,..0.97
7.63,100,5.54,8.15,73.31,10.85,5.52,3.32,71.99,8.04,0.28,429.49,88.12,98.96,0.69,..0.97
9.86,100,7.08,5.22,59.9,12.78,4.54,31.9,39.55,5.81,0.39,212.7,17.59,28.53,0.7,..0.97
0.17,100,1.27,7.25,47.66,11.75,8.73,16.88,62.73,6.1,0.14,356.89,46.31,35.84,0.7,..0.97
8.94,100,3.49,8.75,14.65,10.25,5.34,6.58,90.84,5.28,0.01,465.25,21.41,15.13,0.7,..0.97
0.1,100,6.61,3.36,11.06,13.64,6.04,14.91,16.02,7.9,0.98,323.32,67.3,83.34,0.7,..0.97
0.92,100,3.44,7.09,85.37,7.91,9.38,39.26,40.01,7.07,0.26,284.86,64.49,12.73,0.7,..0.97
7.41,81.48,0.77,9.71,25.07,0.29,1.08,29.6,36.15,8.31,0.45,91.8,76.5,30.89,0.7,..0.97
4.22,74.12,8.53,8.57,11.96,0.43,9.69,63.19,91.25,3.74,0.02,603.46,88.9,19.78,0.7,..0.97
3.97,100,5.75,8.15,64.53,9.85,5.87,4.93,79.94,2.25,0.08,807.2,94.82,54.16,0.7,..0.97
3.03,100,1.15,5.29,56.12,15.71,8.66,4.65,96.97,4.47,0.33,230.28,13.23,90.51,0.7,..0.97
0.4,100,2.87,5.4,29.78,11.6,5.1,42.69,7.37,3.92,0.52,0,24.22,41.33,0.7,..0.97
5.02,100,4.7,7.14,87.43,11.86,7.2,83.62,62.57,6.57,0.6,730.79,10.31,36.68,0.7,..0.97
7.49,74.23,9.89,10.08,18.13,1.92,4.93,66.41,94.52,5.84,0.83,868.87,30.72,83.23,0.7,..0.97
0.49,87.25,4.31,9.35,63.74,5.65,3.63,92.73,60.86,2.96,0.68,401.42,58.03,95.13,0.71,..0.97
5.23,100,5.85,6.2,69.19,13.8,2.53,35,1.91,8.57,0.13,485.38,15.73,5.68,0.71,..0.97
1.92,94.37,2.01,10.84,40.69,7.16,4.27,11.27,23.97,2.51,0.96,747.1,10.19,22.8,0.71,..0.97
4.2,100,2.39,21.38,1.05,0.62,6.23,37.96,10.87,8.72,0.51,687.83,85.47,47.5,0.71,..0.97
9.6,100,3.69,9.22,40.44,8.78,4.34,84.23,14.1,4.67,0.91,276.62,33.73,35.08,0.71,..0.97
1.06,100,8.95,8.12,89.63,10.88,4.43,5.91,53.15,3.95,0.11,0,13.54,55.99,0.71,..0.97
3.62,87.96,5.46,9.12,88.52,7.88,1.68,12.87,20.11,7.7,0.56,297.37,14.74,77.48,0.71,..0.97
1.75,100,5.28,2.6,28.27,16.4,6.36,26.27,65.41,3.2,0.67,560.47,68.27,17.38,0.71,..0.97
0.09,99.92,4.11,12.12,77.57,8.88,8.25,8.09,16.42,1.1,0.25,0,30.08,86.86,0.71,..0.97
8.55,100,5.02,9.2,7.49,7.8,7.27,22.79,84.39,9.84,0.92,91.56,57.93,56.43,0.71,..0.97
2.7,100,0.97,3.22,65.09,13.78,5.64,96.22,46.84,6.33,0.33,714.25,46.52,54.72,0.71,..0.97
8.39,60.19,1.05,7.68,71.58,1.32,2.93,96.15,68.45,2.73,0.68,520.25,56.73,83.96,0.71,..0.97
6.93,71.27,6.7,4.3,65.05,5.7,7.83,26.13,90.24,4.67,0.48,557.58,54.24,95.84,0.71,..0.97
7.61,95.7,9.74,7.21,96.53,11.79,5.77,13.75,52.84,5.5,0,23.75,36.33,74.98,0.72,..0.97
3.45,100,5.75,4.5,10.64,14.5,6.55,4.45,32.53,8.33,0.75,57.87,35.91,37.66,0.72,..0.97
3.27,100,8.03,6.13,82.07,10.87,7.29,69.88,38.92,9.65,0.77,0,20.81,44.64,0.72,..0.97
5.85,100,0.31,9.14,65.36,8.86,4.93,52.39,75.23,3.65,0.38,47.02,78.06,98.32,0.72,..0.97
5.88,100,1.74,7.33,36.16,11.67,2.41,40.75,0.81,9.39,0.8,294.16,61.55,20.13,0.72,..0.97
7.32,83.07,6.86,14,3.95,0,9.99,59.86,84.19,1.36,0.53,92.13,45.66,91.82,0.72,..0.97
1.66,100,6.28,8.15,45.74,6.85,2.56,50.8,62.38,7.94,0.94,658.18,7.01,72.74,0.72,..0.97
4.63,78.66,3.81,4.54,88.9,6.46,5.73,77,23.55,5.84,0.21,342.53,85.9,42.96,0.72,..0.97
8.84,100,2.23,5.21,70.63,14.79,5.95,32.35,56.27,3.55,0.5,0,58.14,34.89,0.72,..0.97
9.57,67.25,9.1,7.05,70.93,3.95,1.99,2.39,8.79,6.13,0.48,205.61,17.08,5.39,0.73,..0.97
9.71,100,5.15,3.4,35.14,13.6,5.48,92.17,23.99,2.96,0.95,81.61,7.26,69.63,0.73,..0.97
1.54,100,5.52,7.23,51.18,11.77,6.62,87.61,94.47,3.92,0.82,430.59,74.92,59.72,0.73,..0.97
3.37,100,0.73,6.13,78.59,9.87,2.82,57.85,6.85,8.17,0.56,158.29,88.44,2.98,0.73,..0.97
8.9,62.31,8.19,4.11,90.49,2.89,4.3,38.1,76.71,3.57,0.93,0,18.97,47.12,0.73,..0.97
6.35,100,3.76,9.45,26.49,11.55,7.22,76.82,40.57,8.78,0.86,545.6,85.26,61.24,0.74,..0.97
6.6,100,3.74,8.11,81.65,8.89,6.82,90.69,79.86,9.91,0.7,699.11,31.19,39.04,0.74,..0.97
3.06,100,4.42,3.19,9.23,9.81,5.38,16.48,59.73,6.15,0.58,848.76,33.46,80.86,0.74,..0.97
7.3,100,0.17,9.15,66.18,9.85,4.49,39.45,8.89,4.93,0.81,647.83,57.47,30.12,0.74,..0.97
2.99,100,5.97,4.2,59.47,11.8,2.62,66.08,49.83,9.23,0.75,434.48,18.33,17.02,0.74,..0.97
3.63,70.35,7.58,3.66,73.31,3.34,9.77,2.49,23.76,1.41,0.86,917.45,82.52,22.2,0.74,..0.97
6.19,100,9.65,9.37,3.79,6.63,1.8,94.44,69.39,7.69,0.95,109.14,67.06,37.41,0.74,..0.97
6.37,100,1.53,7,10,9,9.38,36.28,64.31,1.91,0.95,174.52,95.61,62.6,0.74,..0.97
2.55,100,6.75,6.12,98.11,11.88,8.45,26.31,15.78,2.65,0.48,9.65,50.92,19.54,0.74,..0.97
0.35,74.49,5.28,4.91,81.89,2.09,4.96,21.02,19.52,3.6,0.18,0,65.69,76.71,0.75,..0.97
8.16,100,9.83,1.16,89.35,13.84,8.69,62.38,68.2,3.56,0.89,891.34,45.32,21.13,0.75,..0.97
2.97,100,2.33,3.36,39.14,13.64,8.67,60.33,24.8,6.5,0.74,161.66,78.84,84.32,0.75,..0.97
1.51,100,6.31,9.14,41.57,5.86,6.13,68.93,44.05,7.98,0.4,136.1,53.22,20.27,0.75,..0.97
9.54,94.98,1.8,14.25,13.26,0.75,6.94,25.34,42.65,1.56,0.47,356.87,91.99,51.54,0.75,..0.97
7.3,100,8.85,9.08,86.38,6.92,8.41,43.98,47.97,5.67,0.38,430.65,24.73,60.08,0.75,..0.97
5.75,100,5.41,4.3,39.98,11.7,7.2,67.89,71.83,4.4,0.86,701.37,70.58,88.65,0.75,..0.97
5.53,100,9.14,9.35,17.33,5.65,3.23,85.48,21.6,6.59,0.79,62.07,4.83,26.7,0.76,..0.97
0.27,100,7.07,8.15,68.9,9.85,7.73,63.77,43.91,3.61,0.58,142.17,69.75,72.94,0.76,..0.97
5.75,100,4.97,4.11,91.94,9.89,8.01,26.49,67.34,3.61,0.94,221.85,39.34,28.51,0.76,..0.97
5.18,100,0.08,2.13,96.31,12.87,6.57,62.74,84.71,9.69,0.13,827.64,4.54,59.8,0.76,..0.97
6.37,100,2.7,8.16,37.19,5.84,3.83,9.56,13.93,3.7,0.83,8.32,92.3,93.78,0.76,..0.97
3,86.43,3.7,10.71,23.92,3.29,7.23,88.45,47.75,3.48,0.41,161.37,61.01,13.43,0.76,..0.97
0.98,75.29,7.4,5.42,69.7,4.58,9.19,91.48,12.98,1.26,0.62,101.39,79.43,32.45,0.76,..0.97
9.79,100,8.87,6.19,61.97,11.81,7.44,60.39,48.74,6.43,0.37,770.77,74.62,61.26,0.76,..0.97
0.85,100,5.4,9.12,86.93,9.88,3.52,71.51,38.92,4.99,0.11,37.36,96.46,26.98,0.76,..0.97
4.89,100,9.98,8.16,51.28,7.84,2.93,88.58,64.02,6.25,0.93,245.13,96.22,15.59,0.76,..0.97
9.37,100,1.74,1.17,87.31,14.83,8.71,3.7,37.15,6.01,0.98,0,83.74,74.49,0.76,..0.97
3.17,100,3.74,8.22,26.92,5.78,3.33,65.4,81.62,7.13,0.98,417.79,12.02,73.09,0.76,..0.97
1.75,100,9.89,9.14,49.13,6.86,3.52,83.13,73.78,6.86,0.21,0,97.63,48,0.76,..0.97
0.18,100,1.72,3.26,42.1,10.74,5.94,26.1,51.38,8.72,0.74,356.69,26.53,12.53,0.77,..0.97
7.73,100,2.94,8.27,29.97,7.73,8.68,92.33,90.96,7.36,0.2,656.25,53.51,7.54,0.77,..0.97
2.26,100,6.56,9.16,55.97,8.84,6.35,14.62,60.58,7.47,0.78,472.14,71.23,52.77,0.77,..0.97
5.67,100,6.58,8.05,91.23,4.95,4.41,69.07,43.63,6.13,0.55,405.38,10.51,16.92,0.77,..0.97
5.6,100,0,7.97,6.59,11.03,5.06,94.23,36.65,3.68,0.95,541.31,36.92,93,0.77,..0.97
2.08,98.71,0.31,15.87,7.89,0.13,4.45,41.24,69.48,8.55,0.36,821.99,10.19,89.07,0.77,..0.97
1.31,100,8.06,6.3,32.9,9.7,5.62,95.4,64.4,7.96,0.18,347.5,32.39,62.71,0.77,..0.97
9.33,62.88,9.81,5.9,24.05,1.1,2.11,16.63,25.97,9.72,0.05,154.05,61.44,37.43,0.77,..0.97
4.6,100,5.09,8.12,96.34,11.88,6.73,43.53,93.08,3.89,0.23,249.69,36.75,27.79,0.77,..0.97
4.83,100,0.93,4.38,36.69,13.62,4.63,48.24,32.89,6.05,0.72,204.65,75.31,2.86,0.77,..0.97
6.38,73.12,7.69,6.27,54.34,1.73,3.07,55.39,26.27,4.26,0.76,334.97,47.03,94.77,0.77,..0.97
4.28,85.2,1.28,10.27,36.21,1.73,4.52,7.91,51.17,1.89,0.89,745.13,52.21,87.34,0.77,..0.97
6.2,78.57,6.97,5.32,16.05,0.68,8.38,46.27,37.7,6.08,0.65,874.9,38.99,92.66,0.77,..0.97
5.56,88.91,6.24,8.89,77.96,4.11,1.98,68.74,96.24,5.71,0.78,373.33,78.29,11.41,0.77,..0.97
5.84,100,7.34,7.14,86.26,11.86,4.98,89.8,62.97,7.74,0.41,289.77,65.23,43.16,0.78,..0.97
4.26,100,3.6,9.63,14.23,8.37,4.8,44.85,84.91,3.63,0.5,616.79,23.76,71.69,0.78,..0.97
6.5,100,6.28,6.1,78.54,7.9,8.19,87.17,7.56,3.72,0.59,891.44,97.25,76.28,0.78,..0.97
2.18,100,6.59,6.13,82.51,10.87,8.93,80.11,17.11,3.19,0.83,0,38.57,2.66,0.78,..0.97
9.37,100,9.76,5.98,8.1,14.02,4.93,75.16,29.75,2.41,0.86,151.25,76.57,6.96,0.78,..0.97
1.66,100,3.28,2.22,60.4,12.78,7.58,79.76,85.48,8.75,0.66,459.1,85.84,25.46,0.78,..0.97
3.3,100,2.12,6.13,85.82,10.87,5.61,12.21,84.91,2.06,0.78,488.93,38.43,67.77,0.78,..0.97
8.62,100,3.19,9.09,69.3,5.91,6.66,25.46,53.83,8.65,0.81,671.27,8.22,78.64,0.78,..0.97
2.15,100,3.53,7.2,25.15,4.8,3.36,60.02,52,6.59,0.14,866.58,96.08,52.62,0.78,..0.97
7.83,82.87,6.83,6.72,40.54,4.28,3.84,49.28,59.82,6.83,0.88,360,28.48,45.51,0.79,..0.97
8.34,100,0.89,5.17,72.63,11.83,5.54,61.23,96.96,9.96,0.1,380.31,94.66,95.26,0.79,..0.97
5.67,100,8.45,4.69,16,10.31,7.34,78.08,34.94,6.6,0.28,101.52,26.25,81.87,0.79,..0.97
1.72,100,8.56,8.11,64.86,6.89,5.54,31.04,68.45,4.86,0.07,0,84.63,61.59,0.79,..0.97
9.9,100,7.89,8.12,91.17,10.88,3.72,23.02,25.77,9.48,0.69,749.23,22.55,36.12,0.79,..0.97
6.31,100,2.46,2.6,21.65,12.4,9.68,91.35,46.51,9.5,0.56,551.21,86.38,71.73,0.79,..0.97
7.19,67.14,4.59,5.04,27.01,0.96,5.35,4.66,11.09,3.28,0.89,788.86,38.75,48.5,0.79,..0.97
3.27,100,0.42,5.57,19.22,10.43,7.28,3.04,49.93,3.23,0.59,0,91.66,1.42,0.79,..0.97
5.44,100,1.19,9.15,61.12,8.85,5.39,89.27,94.17,8.69,0.67,589.78,4.32,44.17,0.79,..0.97
7.32,100,2.49,6.1,93.79,8.9,8.91,70.21,37.45,2.41,0.11,222.06,87.43,91.41,0.79,..0.97
8.71,100,7.56,3.19,75.55,13.81,9.82,84.32,69.72,7.38,0.09,654.7,17.64,50.64,0.79,..0.97
6.92,68.32,4.36,4.53,39.71,0.47,8.5,88.68,38.43,1.97,0.06,431.18,43.64,81.93,0.79,..0.97
5.3,96.44,9.38,5.06,64.49,6.94,7.81,46.72,93.66,8.11,0.38,57.46,75.09,8.14,0.79,..0.97
1.5,100,2.68,9.21,34.02,6.79,6.02,95.24,10.74,2.76,0.13,559.52,32.87,40.07,0.8,..0.97
2.46,90.59,7.83,9.34,33.77,3.66,6.76,9.12,11.55,2.78,0.24,686.83,65.45,37.38,0.8,..0.97
5.61,54.9,7.84,1.34,72.31,0.66,7.81,5.54,23.1,6.25,0.77,533.66,53.01,13.08,0.8,..0.97
5.06,100,5.86,6.29,30.89,8.71,1.71,55.04,56.59,9.79,0.37,308.89,73.88,63.37,0.81,..0.97
2.52,100,1.95,7.91,4.19,6.09,8.76,35.06,38.65,5.09,0.43,152.87,86.59,42.86,0.81,..0.97
0.05,100,5.38,3.66,18.25,11.34,8.39,62.05,97.13,2.46,0.44,893.39,67.67,23.97,0.81,..0.97
0.4,79.88,5.83,4.41,88.72,3.59,5.28,97.16,61.76,3.85,0.7,753.68,11.77,49.99,0.81,..0.97
9.11,100,4.91,2.13,85.92,10.87,5.45,10.39,30,8.78,0.9,844.03,10.63,49.17,0.81,..0.97
8.64,100,0.72,7.1,79.94,7.9,4.43,97.66,94.25,2.82,0.43,702.52,32.83,26.4,0.81,..0.97
8.23,91.95,3.75,12.15,19.75,2.85,5.23,74.71,62.21,4.6,0.92,695.44,8.63,48.64,0.81,..0.97
4.65,89.5,3.61,14.99,5.8,0.01,8.15,34.46,85.11,2.77,0.41,239.61,86.91,48.69,0.81,..0.97
5.45,100,7.72,1.41,26.67,10.59,6.91,83.68,64.58,7.37,0.66,810.33,92.26,29.7,0.81,..0.97
4.78,100,2.25,8.06,71.63,3.94,5.54,80.01,57.61,5.1,0.73,28.54,47.99,93.39,0.81,..0.97
3.93,89.2,0.14,7.77,59.05,4.23,5.21,86.6,64.33,3.21,0.13,557.91,51.54,56.49,0.81,..0.97
3.01,100,5.92,9.58,10.35,5.42,5.46,65.54,76.94,8.73,0.59,417.45,45.13,1.51,0.81,..0.97
8.6,100,4.79,4.17,70.92,11.83,8.08,87.33,35.75,8.76,0.6,0,32.92,47.33,0.81,..0.97
2.19,100,4.6,6.29,23.86,6.71,8.39,29.05,99.25,1.19,0.86,338.45,19.4,50.09,0.82,..0.97
4.43,67.19,1.28,1.85,53.62,1.15,8.83,39.58,80.04,7.37,0.09,304.21,9.95,98.48,0.82,..0.97
6.87,83.32,5.63,11.36,15.69,0.64,4.17,90.69,54.57,2.66,0.27,896.51,10.82,53.68,0.82,..0.97
6.57,100,2.63,10.34,2.99,4.66,9.96,87.68,82.07,2.44,0.11,786.45,2.56,70.69,0.82,..0.97
3.47,100,5.06,9.67,10.49,6.33,3.85,81,50.36,8.8,0.68,284.27,19.24,68.93,0.82,..0.97
2.15,98.8,5.85,7.36,50.43,6.64,5.47,82.79,25.05,5.25,0.63,475.86,47.72,2.63,0.82,..0.97
7.64,100,4.4,4.82,10.94,8.18,9.64,64.04,29.39,1.88,0.47,885.82,1.76,98.33,0.82,..0.97
0.38,100,7.78,2.16,74.71,11.84,6.63,79.94,50.07,7.13,0.45,213.9,15.24,23.5,0.82,..0.97
7.41,100,0.31,2.2,64.3,12.8,6.04,69.95,30.16,5.31,0.81,897.73,54.26,59.33,0.82,..0.97
0.54,100,2.13,6.83,13.23,10.17,5.61,61.33,55.97,4.22,0.42,273.87,29.37,44.05,0.82,..0.97
7.11,100,3.69,5.31,25.4,7.69,3.08,61.77,98.88,7.73,0.15,569.93,35.08,15.46,0.82,..0.97
8.42,100,3.43,3.44,25.23,10.56,5.81,30.92,49.6,6.14,0.95,178.18,9.23,50.59,0.82,..0.97
9.09,100,6.84,9.25,31.99,7.75,6.02,22.74,40.14,9.66,0.55,466.99,69.92,86.53,0.82,..0.97
8.51,100,2.91,7.06,82.05,4.94,4.74,17.32,1.01,9.6,0.34,558.98,66.57,85.94,0.82,..0.97
9.23,100,1.39,6.09,76.87,6.91,7.8,92.62,76.08,6.16,0.11,366.08,62.33,59.98,0.82,..0.97
9.41,100,0.06,9.09,52.65,4.91,7.21,49.85,1.69,9.41,0.03,15.48,14.96,11.73,0.82,..0.97
5.95,100,8.94,7.17,64.67,10.83,4.28,43.38,14.15,5.98,0.13,475.37,94.59,18.6,0.83,..0.97
4.08,100,6.79,2.4,35.12,13.6,8.09,9.96,58.75,8.4,0.06,452.92,60.7,50.45,0.83,..0.97
9.89,86.23,4.38,8.62,78.93,1.38,4.73,6.08,35.84,2.1,0.67,322.43,65.13,49,0.83,..0.97
8.11,100,2.08,8.25,20.22,4.75,4.27,65.96,34.18,3.06,0.65,683.58,39.22,79.02,0.83,..0.97
1.31,100,0.3,4.13,69.73,8.87,4.73,93.87,75.99,7.85,0.09,365.75,19.9,61.15,0.83,..0.97
2.69,100,9.63,6.08,90.79,6.92,3.03,8.31,63.89,7.35,0.19,248.41,90.33,38.17,0.83,..0.97
